Gene,TPM
Stard13_XIII,0
Stard13_XIII,11.8
Stard13_XIII,0.84
Stard13_XIII,0
Stard13_XIII,0
Stard13_XIII,0
Stard13_XIII,0
Stard13_XIII,2.67
Stard13_XIII,0
Stard13_XIII,10.47
Stard13_XIII,0.41
Stard13_XIII,0
Stard13_XIII,0
Stard13_XIII,0
Stard13_XIII,0
Stard13_XIII,0
Stard13_XIII,0
Stard13_XIII,0
Stard13_XIII,0
Stard13_XIII,0
Stard13_XIII,1.33
Stard13_XIII,0
Stard13_XIII,1.27
Stard13_XIII,0
Stard13_XIII,7.01
Stard13_XIII,0
Stard13_XIII,18.09
Stard13_XIII,0.3
Stard13_XIII,0
Stard13_XIII,0
Stard13_XIII,0
Stard13_XIII,0
Stard13_XIII,0.18
Stard13_XIII,0
Stard13_XIII,0.51
Stard13_XIII,0.38
Stard13_XIII,0
Stard13_XIII,0
Stard13_XIII,0
Stard13_XIII,0
Stard13_XIII,0
Stard13_XIII,0
Stard13_XIII,25.66
Stard13_XIII,34.82
Stard13_XIII,0
Stard13_XIII,4.98
Stard13_XIII,0
Stard13_XIII,10.49
Stard13_XIII,0
Stard13_XIII,54.89
Stard13_XIII,0
Stard13_XIII,0
Stard13_XIII,0
