Type,TPM,Gene
DIPG-VI,0,GRIA3
DIPG-VI,7.63,GRIA3
DIPG-VI,2.45,GRIA3
DIPG-VI,59.21,GRIA3
DIPG-VI,0.2,GRIA3
DIPG-VI,1.6,GRIA3
DIPG-VI,34.08,GRIA3
DIPG-VI,0.5,GRIA3
DIPG-VI,11.13,GRIA3
DIPG-VI,67.4,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,47.6,GRIA3
DIPG-VI,207.46,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,35.79,GRIA3
DIPG-VI,46.56,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,37.58,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,61.83,GRIA3
DIPG-VI,34.07,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,110.61,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,51.33,GRIA3
DIPG-VI,4.17,GRIA3
DIPG-VI,14.49,GRIA3
DIPG-VI,17.91,GRIA3
DIPG-VI,138.49,GRIA3
DIPG-VI,7.83,GRIA3
DIPG-VI,40.33,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,58.57,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,29.96,GRIA3
DIPG-VI,141.61,GRIA3
DIPG-VI,94.43,GRIA3
DIPG-VI,9.34,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,19.74,GRIA3
DIPG-VI,46.34,GRIA3
DIPG-VI,74.55,GRIA3
DIPG-VI,45.3,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,27.61,GRIA3
DIPG-VI,13.96,GRIA3
DIPG-VI,4.56,GRIA3
DIPG-VI,8.8,GRIA3
DIPG-VI,4.61,GRIA3
DIPG-VI,86.08,GRIA3
DIPG-VI,109.46,GRIA3
DIPG-VI,4.74,GRIA3
DIPG-VI,0.42,GRIA3
DIPG-VI,10.4,GRIA3
DIPG-VI,18.43,GRIA3
DIPG-VI,53.51,GRIA3
DIPG-VI,11.57,GRIA3
DIPG-VI,75.75,GRIA3
DIPG-VI,23.48,GRIA3
DIPG-VI,40.57,GRIA3
DIPG-VI,46.99,GRIA3
DIPG-VI,33.57,GRIA3
DIPG-VI,71.33,GRIA3
DIPG-VI,11.59,GRIA3
DIPG-VI,9.32,GRIA3
DIPG-VI,3.72,GRIA3
DIPG-VI,34.28,GRIA3
DIPG-VI,77.39,GRIA3
DIPG-VI,5.69,GRIA3
DIPG-VI,16.31,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,49.69,GRIA3
DIPG-VI,38.58,GRIA3
DIPG-VI,22,GRIA3
DIPG-VI,118.9,GRIA3
DIPG-VI,69.14,GRIA3
DIPG-VI,34.54,GRIA3
DIPG-VI,20.71,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,56.89,GRIA3
DIPG-VI,22.79,GRIA3
DIPG-VI,7.87,GRIA3
DIPG-VI,33.88,GRIA3
DIPG-VI,17.35,GRIA3
DIPG-VI,30.48,GRIA3
DIPG-VI,57.5,GRIA3
DIPG-VI,3.19,GRIA3
DIPG-VI,25.05,GRIA3
DIPG-VI,14.67,GRIA3
DIPG-VI,0.92,GRIA3
DIPG-VI,46.01,GRIA3
DIPG-VI,74.84,GRIA3
DIPG-VI,60.61,GRIA3
DIPG-VI,2.68,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,92.26,GRIA3
DIPG-VI,136.94,GRIA3
DIPG-VI,23.88,GRIA3
DIPG-VI,13.38,GRIA3
DIPG-VI,0.3,GRIA3
DIPG-VI,31.25,GRIA3
DIPG-VI,30.87,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,59.94,GRIA3
DIPG-VI,2.47,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,107.37,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,0.19,GRIA3
DIPG-VI,56.09,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,62.96,GRIA3
DIPG-VI,149.2,GRIA3
DIPG-VI,7.9,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,1.9,GRIA3
DIPG-VI,17.97,GRIA3
DIPG-VI,0.73,GRIA3
DIPG-VI,24.12,GRIA3
DIPG-VI,31.7,GRIA3
DIPG-VI,28.96,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,57.87,GRIA3
DIPG-VI,35.19,GRIA3
DIPG-VI,30.12,GRIA3
DIPG-VI,37.38,GRIA3
DIPG-VI,69.15,GRIA3
DIPG-VI,25.59,GRIA3
DIPG-VI,37.88,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,81.97,GRIA3
DIPG-VI,0.72,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,133.36,GRIA3
DIPG-VI,71.92,GRIA3
DIPG-VI,8.86,GRIA3
DIPG-VI,0.74,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,6.72,GRIA3
DIPG-VI,0,GRIA3
DIPG-VI,15.42,GRIA3
DIPG-VI,0,GRIA3
DIPG-XIII,0.3,GRIA3
DIPG-XIII,4.93,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,104.16,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,27.82,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,4.24,GRIA3
DIPG-XIII,10.7,GRIA3
DIPG-XIII,43.92,GRIA3
DIPG-XIII,29.16,GRIA3
DIPG-XIII,59.87,GRIA3
DIPG-XIII,43.23,GRIA3
DIPG-XIII,74.78,GRIA3
DIPG-XIII,41.75,GRIA3
DIPG-XIII,8.6,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,4.59,GRIA3
DIPG-XIII,2.96,GRIA3
DIPG-XIII,41.04,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,9.78,GRIA3
DIPG-XIII,73.43,GRIA3
DIPG-XIII,5.09,GRIA3
DIPG-XIII,70.18,GRIA3
DIPG-XIII,35.97,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,43.64,GRIA3
DIPG-XIII,5.87,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,41.66,GRIA3
DIPG-XIII,38.12,GRIA3
DIPG-XIII,34.98,GRIA3
DIPG-XIII,30.19,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,89.57,GRIA3
DIPG-XIII,64.26,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,34.46,GRIA3
DIPG-XIII,57.24,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,67.95,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,10.06,GRIA3
DIPG-XIII,21.66,GRIA3
DIPG-XIII,51.79,GRIA3
DIPG-XIII,127.86,GRIA3
DIPG-XIII,72.2,GRIA3
DIPG-XIII,79.76,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,117.08,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,28.26,GRIA3
DIPG-XIII,32.08,GRIA3
DIPG-XIII,53.59,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,0.38,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,19.5,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,34.73,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,65.61,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,24.25,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,11.07,GRIA3
DIPG-XIII,17.91,GRIA3
DIPG-XIII,13.43,GRIA3
DIPG-XIII,21.34,GRIA3
DIPG-XIII,24.98,GRIA3
DIPG-XIII,34.34,GRIA3
DIPG-XIII,35.99,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,41.75,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,42.26,GRIA3
DIPG-XIII,40.65,GRIA3
DIPG-XIII,25.71,GRIA3
DIPG-XIII,66.59,GRIA3
DIPG-XIII,16.2,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,43.87,GRIA3
DIPG-XIII,45.87,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,164.04,GRIA3
DIPG-XIII,87.73,GRIA3
DIPG-XIII,54.7,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,23.68,GRIA3
DIPG-XIII,78.82,GRIA3
DIPG-XIII,112.76,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,10.29,GRIA3
DIPG-XIII,15.41,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,3.98,GRIA3
DIPG-XIII,19.26,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,41.82,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,19.18,GRIA3
DIPG-XIII,32.42,GRIA3
DIPG-XIII,0,GRIA3
DIPG-XIII,20.9,GRIA3
DIPG-XIII,101.43,GRIA3
DIPG-XIII,60.47,GRIA3
