Type,TPM,Gene
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,0.96,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,2.88,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,0.49,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,0.78,BAIAP2-AS1
DIPG-XIII,2.69,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,0.76,BAIAP2-AS1
DIPG-XIII,11.21,BAIAP2-AS1
DIPG-XIII,5.21,BAIAP2-AS1
DIPG-XIII,1.69,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,9.26,BAIAP2-AS1
DIPG-XIII,0.46,BAIAP2-AS1
DIPG-XIII,2.43,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,1.56,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,95.61,BAIAP2-AS1
DIPG-XIII,10.72,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,2.09,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,107.77,BAIAP2-AS1
DIPG-XIII,17.6,BAIAP2-AS1
DIPG-XIII,0.92,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,1.18,BAIAP2-AS1
DIPG-XIII,1.21,BAIAP2-AS1
DIPG-XIII,1.24,BAIAP2-AS1
DIPG-XIII,6.87,BAIAP2-AS1
DIPG-XIII,0.34,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,155.95,BAIAP2-AS1
DIPG-XIII,2.6,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,0.65,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,5.45,BAIAP2-AS1
DIPG-XIII,6.22,BAIAP2-AS1
DIPG-XIII,31.12,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,1.97,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,1.18,BAIAP2-AS1
DIPG-XIII,0.46,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,0.52,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,0,BAIAP2-AS1
DIPG-XIII,0.78,BAIAP2-AS1
