Type,TPM,Gene
DIPG-VI,0,GRIA2
DIPG-VI,95.14,GRIA2
DIPG-VI,208.31,GRIA2
DIPG-VI,47.3,GRIA2
DIPG-VI,46.88,GRIA2
DIPG-VI,107.85,GRIA2
DIPG-VI,207.24,GRIA2
DIPG-VI,19.78,GRIA2
DIPG-VI,44.37,GRIA2
DIPG-VI,143.72,GRIA2
DIPG-VI,105.86,GRIA2
DIPG-VI,145.68,GRIA2
DIPG-VI,415.84,GRIA2
DIPG-VI,138.38,GRIA2
DIPG-VI,71.79,GRIA2
DIPG-VI,6.87,GRIA2
DIPG-VI,76.02,GRIA2
DIPG-VI,51.33,GRIA2
DIPG-VI,35.71,GRIA2
DIPG-VI,52.76,GRIA2
DIPG-VI,109.37,GRIA2
DIPG-VI,321,GRIA2
DIPG-VI,204.08,GRIA2
DIPG-VI,351.01,GRIA2
DIPG-VI,224.38,GRIA2
DIPG-VI,198.21,GRIA2
DIPG-VI,47.22,GRIA2
DIPG-VI,145.5,GRIA2
DIPG-VI,64.58,GRIA2
DIPG-VI,45.9,GRIA2
DIPG-VI,68.56,GRIA2
DIPG-VI,246.13,GRIA2
DIPG-VI,0,GRIA2
DIPG-VI,281.85,GRIA2
DIPG-VI,35.62,GRIA2
DIPG-VI,14.74,GRIA2
DIPG-VI,169.97,GRIA2
DIPG-VI,166.63,GRIA2
DIPG-VI,308.17,GRIA2
DIPG-VI,106.97,GRIA2
DIPG-VI,58.78,GRIA2
DIPG-VI,119.82,GRIA2
DIPG-VI,161.14,GRIA2
DIPG-VI,196.86,GRIA2
DIPG-VI,0,GRIA2
DIPG-VI,113.15,GRIA2
DIPG-VI,127.26,GRIA2
DIPG-VI,98.14,GRIA2
DIPG-VI,89.5,GRIA2
DIPG-VI,9.68,GRIA2
DIPG-VI,123.75,GRIA2
DIPG-VI,282.75,GRIA2
DIPG-VI,31.18,GRIA2
DIPG-VI,79.35,GRIA2
DIPG-VI,19.23,GRIA2
DIPG-VI,34.81,GRIA2
DIPG-VI,207.31,GRIA2
DIPG-VI,37.75,GRIA2
DIPG-VI,130.76,GRIA2
DIPG-VI,56.47,GRIA2
DIPG-VI,70.62,GRIA2
DIPG-VI,145.45,GRIA2
DIPG-VI,146.44,GRIA2
DIPG-VI,112.83,GRIA2
DIPG-VI,129.43,GRIA2
DIPG-VI,140.78,GRIA2
DIPG-VI,131.5,GRIA2
DIPG-VI,508.63,GRIA2
DIPG-VI,113.2,GRIA2
DIPG-VI,272.1,GRIA2
DIPG-VI,0,GRIA2
DIPG-VI,17.35,GRIA2
DIPG-VI,27.58,GRIA2
DIPG-VI,85.03,GRIA2
DIPG-VI,248.53,GRIA2
DIPG-VI,154.36,GRIA2
DIPG-VI,12.34,GRIA2
DIPG-VI,100.41,GRIA2
DIPG-VI,6.84,GRIA2
DIPG-VI,71.5,GRIA2
DIPG-VI,61.38,GRIA2
DIPG-VI,0,GRIA2
DIPG-VI,112.78,GRIA2
DIPG-VI,254.25,GRIA2
DIPG-VI,134.73,GRIA2
DIPG-VI,79.19,GRIA2
DIPG-VI,37.84,GRIA2
DIPG-VI,265.74,GRIA2
DIPG-VI,19.69,GRIA2
DIPG-VI,126.91,GRIA2
DIPG-VI,267.56,GRIA2
DIPG-VI,0,GRIA2
DIPG-VI,285.97,GRIA2
DIPG-VI,92.41,GRIA2
