Type,TPM,Gene
DIPG-VI,0,BAI3
DIPG-VI,0,BAI3
DIPG-VI,0,BAI3
DIPG-VI,0,BAI3
DIPG-VI,0,BAI3
DIPG-VI,92.5,BAI3
DIPG-VI,0,BAI3
DIPG-VI,1.38,BAI3
DIPG-VI,20.6,BAI3
DIPG-VI,6.4,BAI3
DIPG-VI,0,BAI3
DIPG-VI,0,BAI3
DIPG-VI,42.37,BAI3
DIPG-VI,0,BAI3
DIPG-VI,27.92,BAI3
DIPG-VI,20.32,BAI3
DIPG-VI,0,BAI3
DIPG-VI,0,BAI3
DIPG-VI,0,BAI3
DIPG-VI,0,BAI3
DIPG-VI,0,BAI3
DIPG-VI,4.43,BAI3
DIPG-VI,0,BAI3
DIPG-VI,91.41,BAI3
DIPG-VI,0,BAI3
DIPG-VI,0,BAI3
DIPG-VI,0,BAI3
DIPG-VI,0,BAI3
DIPG-VI,22.21,BAI3
DIPG-VI,17.89,BAI3
DIPG-VI,11.51,BAI3
DIPG-VI,5.29,BAI3
DIPG-VI,0,BAI3
DIPG-VI,0,BAI3
DIPG-VI,13.71,BAI3
DIPG-VI,3.63,BAI3
DIPG-VI,0,BAI3
DIPG-VI,0.66,BAI3
DIPG-VI,0,BAI3
DIPG-VI,0,BAI3
DIPG-VI,9.38,BAI3
DIPG-VI,107.83,BAI3
DIPG-VI,54.04,BAI3
DIPG-VI,55.45,BAI3
DIPG-VI,0,BAI3
DIPG-VI,46.23,BAI3
DIPG-VI,22.1,BAI3
DIPG-VI,1.52,BAI3
DIPG-VI,6.73,BAI3
DIPG-VI,26.12,BAI3
DIPG-VI,27.56,BAI3
DIPG-VI,80.97,BAI3
DIPG-VI,0,BAI3
DIPG-VI,0,BAI3
DIPG-VI,14.46,BAI3
DIPG-VI,0,BAI3
DIPG-VI,0,BAI3
DIPG-VI,11.48,BAI3
DIPG-VI,39.49,BAI3
DIPG-VI,0,BAI3
DIPG-VI,32.81,BAI3
DIPG-VI,11.11,BAI3
DIPG-VI,8.29,BAI3
DIPG-VI,25.36,BAI3
DIPG-VI,30.06,BAI3
DIPG-VI,26.86,BAI3
DIPG-VI,0.76,BAI3
DIPG-VI,41.97,BAI3
DIPG-VI,0,BAI3
DIPG-VI,8.36,BAI3
DIPG-VI,8.51,BAI3
DIPG-VI,2.13,BAI3
DIPG-VI,0.91,BAI3
DIPG-VI,13.25,BAI3
DIPG-VI,47.38,BAI3
DIPG-VI,19.19,BAI3
DIPG-VI,33.38,BAI3
DIPG-VI,13.01,BAI3
DIPG-VI,0.68,BAI3
DIPG-VI,8.15,BAI3
DIPG-VI,10.07,BAI3
DIPG-VI,0,BAI3
DIPG-VI,33.14,BAI3
DIPG-VI,19.9,BAI3
DIPG-VI,0,BAI3
DIPG-VI,0,BAI3
DIPG-VI,33.85,BAI3
DIPG-VI,8.61,BAI3
DIPG-VI,14.21,BAI3
DIPG-VI,0,BAI3
DIPG-VI,14.69,BAI3
DIPG-VI,16.84,BAI3
DIPG-VI,0,BAI3
DIPG-VI,1.79,BAI3
DIPG-VI,0,BAI3
DIPG-VI,72.62,BAI3
DIPG-VI,39.07,BAI3
DIPG-VI,42.71,BAI3
DIPG-VI,11.82,BAI3
DIPG-VI,39.49,BAI3
DIPG-VI,4.39,BAI3
DIPG-VI,6.45,BAI3
DIPG-VI,5.3,BAI3
DIPG-VI,3.07,BAI3
DIPG-VI,0,BAI3
DIPG-VI,0,BAI3
DIPG-VI,13.73,BAI3
DIPG-VI,0,BAI3
DIPG-VI,0,BAI3
DIPG-VI,1.15,BAI3
DIPG-VI,32.17,BAI3
DIPG-VI,23.79,BAI3
DIPG-VI,0,BAI3
DIPG-VI,1.57,BAI3
DIPG-VI,108.73,BAI3
DIPG-VI,0,BAI3
DIPG-VI,58.72,BAI3
DIPG-VI,0.43,BAI3
DIPG-VI,5.98,BAI3
DIPG-VI,0,BAI3
DIPG-VI,24.9,BAI3
DIPG-VI,12.03,BAI3
DIPG-VI,16.29,BAI3
DIPG-VI,33.63,BAI3
DIPG-VI,0,BAI3
DIPG-VI,0.83,BAI3
DIPG-VI,0,BAI3
DIPG-VI,30.09,BAI3
DIPG-VI,30.85,BAI3
DIPG-VI,10.14,BAI3
DIPG-VI,18.04,BAI3
DIPG-VI,0.28,BAI3
DIPG-VI,8.24,BAI3
DIPG-VI,0,BAI3
DIPG-VI,4.27,BAI3
DIPG-VI,44.46,BAI3
DIPG-VI,0,BAI3
DIPG-VI,44.48,BAI3
DIPG-VI,0,BAI3
DIPG-VI,0,BAI3
DIPG-VI,2.77,BAI3
DIPG-VI,10.92,BAI3
DIPG-VI,0,BAI3
DIPG-VI,33.86,BAI3
DIPG-VI,6.87,BAI3
DIPG-VI,0,BAI3
DIPG-VI,88.32,BAI3
DIPG-XIII,22.49,BAI3
DIPG-XIII,42.63,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,4.5,BAI3
DIPG-XIII,5.62,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,22.93,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,0.61,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,16.9,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,27.67,BAI3
DIPG-XIII,22.25,BAI3
DIPG-XIII,17.74,BAI3
DIPG-XIII,6.19,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,15.43,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,36.21,BAI3
DIPG-XIII,39.86,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,2.57,BAI3
DIPG-XIII,4.5,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,10.34,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,42.39,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,15.12,BAI3
DIPG-XIII,0.41,BAI3
DIPG-XIII,71.52,BAI3
DIPG-XIII,3.19,BAI3
DIPG-XIII,4.08,BAI3
DIPG-XIII,1.08,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,73.03,BAI3
DIPG-XIII,20.81,BAI3
DIPG-XIII,29.66,BAI3
DIPG-XIII,2.67,BAI3
DIPG-XIII,59.79,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,78.07,BAI3
DIPG-XIII,13.7,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,1.19,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,13.7,BAI3
DIPG-XIII,128.94,BAI3
DIPG-XIII,14.96,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,46.38,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,69.54,BAI3
DIPG-XIII,11.04,BAI3
DIPG-XIII,44.89,BAI3
DIPG-XIII,5.68,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,7.26,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,0.7,BAI3
DIPG-XIII,19.51,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,4.92,BAI3
DIPG-XIII,64.85,BAI3
DIPG-XIII,7.03,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,3.51,BAI3
DIPG-XIII,0,BAI3
DIPG-XIII,22.34,BAI3
DIPG-XIII,1.75,BAI3
DIPG-XIII,122,BAI3
DIPG-XIII,0,BAI3
