Type,TPM,Gene,
H2K37M,64.29,TP53,
H2K37M,228.71,TP53,
H2K37M,103.77,TP53,
H2K37M,95.56,TP53,
H2K37M,36.02,TP53,
H2K37M,12.6,TP53,
H2K37M,26.53,TP53,
H2K37M,226.43,TP53,
H2K37M,7.2,TP53,
H2K37M,386.15,TP53,
H2K37M,0,TP53,
H2K37M,92.63,TP53,
H2K37M,0,TP53,
H2K37M,67.55,TP53,
H2K37M,0,TP53,
H2K37M,199.69,TP53,
H2K37M,191.74,TP53,
H2K37M,159.01,TP53,
H2K37M,0,TP53,
H2K37M,167.33,TP53,
H2K37M,45.01,TP53,
H2K37M,223.7,TP53,
H2K37M,111.73,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,45.4,TP53,
H2K37M,117.79,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,89.02,TP53,
H2K37M,12.68,TP53,
H2K37M,191.69,TP53,
H2K37M,295.7,TP53,
H2K37M,183.56,TP53,
H2K37M,263.19,TP53,
H2K37M,85.96,TP53,
H2K37M,468.72,TP53,
H2K37M,463.62,TP53,
H2K37M,143.38,TP53,
H2K37M,170.96,TP53,
H2K37M,184.61,TP53,
H2K37M,0,TP53,
H2K37M,16.79,TP53,
H2K37M,0,TP53,
H2K37M,126.5,TP53,
H2K37M,0,TP53,
H2K37M,294.45,TP53,
H2K37M,321.14,TP53,
H2K37M,141.88,TP53,
H2K37M,10.67,TP53,
H2K37M,147.01,TP53,
H2K37M,23.78,TP53,
H2K37M,0,TP53,
H2K37M,161.21,TP53,
H2K37M,33.11,TP53,
H2K37M,62.06,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,182.73,TP53,
H2K37M,309.54,TP53,
H2K37M,95.22,TP53,
H2K37M,75.34,TP53,
H2K37M,216.76,TP53,
H2K37M,52.73,TP53,
H2K37M,37.11,TP53,
H2K37M,163.06,TP53,
H2K37M,250.28,TP53,
H2K37M,27.56,TP53,
H2K37M,23.74,TP53,
H2K37M,41.02,TP53,
H2K37M,88.26,TP53,
H2K37M,72.27,TP53,
H2K37M,21.36,TP53,
H2K37M,21.96,TP53,
H2K37M,7.05,TP53,
H2K37M,12.54,TP53,
H2K37M,0,TP53,
H2K37M,5.37,TP53,
H2K37M,183.73,TP53,
H2K37M,17.72,TP53,
H2K37M,38.34,TP53,
H2K37M,12.91,TP53,
H2K37M,7.47,TP53,
H2K37M,144.3,TP53,
H2K37M,23.77,TP53,
H2K37M,44.59,TP53,
H2K37M,25.21,TP53,
H2K37M,146.87,TP53,
H2K37M,148.01,TP53,
H2K37M,133.9,TP53,
H2K37M,5.69,TP53,
H2K37M,67.62,TP53,
H2K37M,306.98,TP53,
H2K37M,42.35,TP53,
H2K37M,108.21,TP53,
H2K37M,30.98,TP53,
H2K37M,0,TP53,
H2K37M,114.57,TP53,
H2K37M,151.48,TP53,
H2K37M,0,TP53,
H2K37M,113.95,TP53,
H2K37M,0,TP53,
H2K37M,393.13,TP53,
H2K37M,31.65,TP53,
H2K37M,32.78,TP53,
H2K37M,120.54,TP53,
H2K37M,41.95,TP53,
H2K37M,0,TP53,
H2K37M,191.5,TP53,
H2K37M,110.99,TP53,
H2K37M,99.76,TP53,
H2K37M,61.54,TP53,
H2K37M,219.61,TP53,
H2K37M,1.46,TP53,
H2K37M,36.99,TP53,
H2K37M,2.21,TP53,
H2K37M,0,TP53,
H2K37M,162.2,TP53,
H2K37M,105.92,TP53,
H2K37M,0,TP53,
H2K37M,76.83,TP53,
H2K37M,0,TP53,
H2K37M,82.99,TP53,
H2K37M,16.18,TP53,
H2K37M,189.5,TP53,
H2K37M,163.04,TP53,
H2K37M,14.66,TP53,
H2K37M,71.77,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,106.47,TP53,
H2K37M,145.77,TP53,
H2K37M,66.98,TP53,
H2K37M,25.45,TP53,
H2K37M,0,TP53,
H2K37M,134.89,TP53,
H2K37M,126.44,TP53,
H2K37M,0,TP53,
H2K37M,249.87,TP53,
H2K37M,0,TP53,
H2K37M,141.37,TP53,
H2K37M,55.62,TP53,
H2K37M,0,TP53,
H2K37M,145.4,TP53,
H2K37M,17.14,TP53,
H2K37M,0,TP53,
H2K37M,15.77,TP53,
H2K37M,53.45,TP53,
H2K37M,270.3,TP53,
H2K37M,119.78,TP53,
H2K37M,357.74,TP53,
H2K37M,0,TP53,
H2K37M,9.9,TP53,
H2K37M,0,TP53,
H2K37M,287.56,TP53,
H2K37M,204.84,TP53,
H2K37M,19.85,TP53,
H2K37M,0,TP53,
H2K37M,34.92,TP53,
H2K37M,55.79,TP53,
H2K37M,0,TP53,
H2K37M,67.22,TP53,
H2K37M,100.02,TP53,
H2K37M,288.23,TP53,
H2K37M,22.21,TP53,
H2K37M,3.28,TP53,
H2K37M,47.41,TP53,
H2K37M,0,TP53,
H2K37M,128.96,TP53,
H2K37M,220.13,TP53,
H2K37M,26.57,TP53,
H2K37M,0,TP53,
H2K37M,2.39,TP53,
H2K37M,44.51,TP53,
H2K37M,42.57,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,81.99,TP53,
H2K37M,169.16,TP53,
H2K37M,0,TP53,
H2K37M,113.93,TP53,
H2K37M,0,TP53,
H2K37M,8.78,TP53,
H2K37M,68.38,TP53,
H2K37M,3.87,TP53,
H2K37M,186.22,TP53,
H2K37M,95.04,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,44.64,TP53,
H2K37M,0,TP53,
H2K37M,280.22,TP53,
H2K37M,4.79,TP53,
H2K37M,15.58,TP53,
H2K37M,102.76,TP53,
H2K37M,17.93,TP53,
H2K37M,64.56,TP53,
H2K37M,27.62,TP53,
H2K37M,265.33,TP53,
H2K37M,0,TP53,
H2K37M,33,TP53,
H2K37M,0,TP53,
H2K37M,228.42,TP53,
H2K37M,142.32,TP53,
H2K37M,56.85,TP53,
H2K37M,122.58,TP53,
H2K37M,18.41,TP53,
H2K37M,134.27,TP53,
H2K37M,0,TP53,
H2K37M,183.39,TP53,
H2K37M,64.21,TP53,
H2K37M,46.4,TP53,
H2K37M,29.2,TP53,
H2K37M,9.4,TP53,
H2K37M,104.95,TP53,
H2K37M,66.67,TP53,
H2K37M,0,TP53,
H2K37M,102.22,TP53,
H2K37M,51.15,TP53,
H2K37M,0,TP53,
H2K37M,14.26,TP53,
H2K37M,138.21,TP53,
H2K37M,3.74,TP53,
H2K37M,79.71,TP53,
H2K37M,39.78,TP53,
H2K37M,7.74,TP53,
H2K37M,79.32,TP53,
H2K37M,0,TP53,
H2K37M,47.43,TP53,
H2K37M,95.94,TP53,
H2K37M,27.93,TP53,
H2K37M,0,TP53,
H2K37M,162.27,TP53,
H2K37M,32.51,TP53,
H2K37M,77.78,TP53,
H2K37M,37.94,TP53,
H2K37M,8.88,TP53,
H2K37M,120.26,TP53,
H2K37M,0,TP53,
H2K37M,7.45,TP53,
H2K37M,2.11,TP53,
H2K37M,0,TP53,
H2K37M,232.44,TP53,
H2K37M,613.25,TP53,
H2K37M,169.94,TP53,
H2K37M,112.38,TP53,
H2K37M,115.19,TP53,
H2K37M,170.94,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,53.55,TP53,
H2K37M,8.74,TP53,
H2K37M,70.61,TP53,
H2K37M,1.81,TP53,
H2K37M,120.7,TP53,
H2K37M,54.17,TP53,
H2K37M,0,TP53,
H2K37M,350.25,TP53,
H2K37M,3.73,TP53,
H2K37M,32.32,TP53,
H2K37M,21.19,TP53,
H2K37M,503.57,TP53,
H2K37M,43.17,TP53,
H2K37M,2.29,TP53,
H2K37M,2.15,TP53,
H2K37M,0,TP53,
H2K37M,238.35,TP53,
H2K37M,33.21,TP53,
H2K37M,141.78,TP53,
H2K37M,136.96,TP53,
H2K37M,98.17,TP53,
H2K37M,0,TP53,
H2K37M,8.01,TP53,
H2K37M,1.11,TP53,
H2K37M,45.41,TP53,
H2K37M,23,TP53,
H2K37M,0,TP53,
H2K37M,22.42,TP53,
H2K37M,0,TP53,
H2K37M,111.51,TP53,
H2K37M,219.87,TP53,
H2K37M,162.24,TP53,
H2K37M,61.83,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,6.9,TP53,
H2K37M,6.82,TP53,
H2K37M,133.5,TP53,
H2K37M,27.82,TP53,
H2K37M,123.95,TP53,
H2K37M,202.46,TP53,
H2K37M,151.48,TP53,
H2K37M,11.92,TP53,
H2K37M,188.85,TP53,
H2K37M,33.05,TP53,
H2K37M,68.2,TP53,
H2K37M,1.95,TP53,
H2K37M,184.19,TP53,
H2K37M,263.89,TP53,
H2K37M,15.01,TP53,
H2K37M,166.01,TP53,
H2K37M,125.87,TP53,
H2K37M,5.57,TP53,
H2K37M,101.2,TP53,
H2K37M,99.04,TP53,
H2K37M,30.74,TP53,
H2K37M,255.67,TP53,
H2K37M,43.23,TP53,
H2K37M,82.83,TP53,
H2K37M,2.55,TP53,
H2K37M,77.38,TP53,
H2K37M,0,TP53,
H2K37M,185.44,TP53,
H2K37M,0,TP53,
H2K37M,129.87,TP53,
H2K37M,0,TP53,
H2K37M,4.17,TP53,
H2K37M,3.21,TP53,
H2K37M,0,TP53,
H2K37M,329.72,TP53,
H2K37M,415.97,TP53,
H2K37M,132.85,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,41.15,TP53,
H2K37M,1.16,TP53,
H2K37M,15.63,TP53,
H2K37M,12.87,TP53,
H2K37M,228.32,TP53,
H2K37M,43.97,TP53,
H2K37M,357.62,TP53,
H2K37M,41.73,TP53,
H2K37M,325.09,TP53,
H2K37M,0,TP53,
H2K37M,132.56,TP53,
H2K37M,3.6,TP53,
H2K37M,253.85,TP53,
H2K37M,11,TP53,
H2K37M,0,TP53,
H2K37M,63.21,TP53,
H2K37M,32,TP53,
H2K37M,6.76,TP53,
H2K37M,192.49,TP53,
H2K37M,4.56,TP53,
H2K37M,332.79,TP53,
H2K37M,374.82,TP53,
H2K37M,62.63,TP53,
H2K37M,39.9,TP53,
H2K37M,258.56,TP53,
H2K37M,137.49,TP53,
H2K37M,0,TP53,
H2K37M,91.23,TP53,
H2K37M,0,TP53,
H2K37M,88.21,TP53,
H2K37M,5.63,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,255.03,TP53,
H2K37M,416.93,TP53,
H2K37M,0,TP53,
H2K37M,7.95,TP53,
H2K37M,53.6,TP53,
H2K37M,44.59,TP53,
H2K37M,2.09,TP53,
H2K37M,5.46,TP53,
H2K37M,190.45,TP53,
H2K37M,32.85,TP53,
H2K37M,160.01,TP53,
H2K37M,209.33,TP53,
H2K37M,0,TP53,
H2K37M,92.61,TP53,
H2K37M,96.64,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,22.61,TP53,
H2K37M,9.22,TP53,
H2K37M,0,TP53,
H2K37M,171.06,TP53,
H2K37M,17.57,TP53,
H2K37M,41.78,TP53,
H2K37M,178.75,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,274.4,TP53,
H2K37M,55.36,TP53,
H2K37M,345.26,TP53,
H2K37M,102.54,TP53,
H2K37M,333.7,TP53,
H2K37M,5.46,TP53,
H2K37M,47.77,TP53,
H2K37M,62.89,TP53,
H2K37M,31.13,TP53,
H2K37M,0,TP53,
H2K37M,47.4,TP53,
H2K37M,309.24,TP53,
H2K37M,213.14,TP53,
H2K37M,86.49,TP53,
H2K37M,4.35,TP53,
H2K37M,19.72,TP53,
H2K37M,0,TP53,
H2K37M,201,TP53,
H2K37M,36.43,TP53,
H2K37M,74.45,TP53,
H2K37M,158.5,TP53,
H2K37M,111.62,TP53,
H2K37M,144.03,TP53,
H2K37M,97.16,TP53,
H2K37M,132.49,TP53,
H2K37M,0,TP53,
H2K37M,51.65,TP53,
H2K37M,161.06,TP53,
H2K37M,1.42,TP53,
H2K37M,16.42,TP53,
H2K37M,337.23,TP53,
H2K37M,141.38,TP53,
H2K37M,323.4,TP53,
H2K37M,16.7,TP53,
H2K37M,0,TP53,
H2K37M,215.57,TP53,
H2K37M,1.92,TP53,
H2K37M,26.73,TP53,
H2K37M,145.79,TP53,
H2K37M,1.48,TP53,
H2K37M,179.6,TP53,
H2K37M,117.79,TP53,
H2K37M,134.99,TP53,
H2K37M,0,TP53,
H2K37M,419.61,TP53,
H2K37M,0,TP53,
H2K37M,0,TP53,
H2K37M,2.42,TP53,
H2K37M,484.5,TP53,
H2K37M,0,TP53,
H2K37M,18.1,TP53,
H2K37M,74.03,TP53,
H2K37M,0,TP53,
H2K37M,144.02,TP53,
H2K37M,420.34,TP53,
H2K37M,137.98,TP53,
H2K37M,71.86,TP53,
H2K37M,0,TP53,
H2K37M,34.41,TP53,
H2K37M,266.92,TP53,
H2K37M,106.71,TP53,
H2K37M,170.62,TP53,
H2K37M,104.83,TP53,
H2K37M,119.22,TP53,
H2K37M,190.34,TP53,
H2K37M,14.96,TP53,
H2K37M,86.76,TP53,
H2K37M,218.14,TP53,
H2K37M,0,TP53,
H2K37M,97.26,TP53,
H2K37M,246.28,TP53,
H2K37M,0,TP53,
H2K37M,125.05,TP53,
H2K37M,178.36,TP53,
H2K37M,44.32,TP53,
H2K37M,217.58,TP53,
H2K37M,2.29,TP53,
H2K37M,117.8,TP53,
H2K37M,85.57,TP53,
H2K37M,231.18,TP53,
H2K37M,202.83,TP53,
H2K37M,151.91,TP53,
H2K37M,174.39,TP53,
H2K37M,33.66,TP53,
H2K37M,132.22,TP53,
H2K37M,114.89,TP53,
H2K37M,80.27,TP53,
H2K37M,24.9,TP53,
H2K37M,205.02,TP53,
H2K37M,213.2,TP53,
H2K37M,0,TP53,
H2K37M,147.71,TP53,
H2K37M,177.34,TP53,
H2K37M,65.69,TP53,
H2K37M,0,TP53,
H2K37M,209.55,TP53,
H2K37M,0,TP53,
H2K37M,70.93,TP53,
